rot.Traj1 P2 R
rot.Traj10 P1 R
rot.Traj100 P1 R
rot.Traj101 P2 R
rot.Traj102 P1 R
rot.Traj103 P2 R
rot.Traj104 P2 R
rot.Traj105 P2 R
rot.Traj106 P2 none
rot.Traj107 P2 R
rot.Traj108 P2 R
rot.Traj109 P1 R
rot.Traj11 P2 R
rot.Traj110 P1 R
rot.Traj111 P1 R
rot.Traj112 P1 R
rot.Traj113 P2 R
rot.Traj114 P2 R
rot.Traj115 P2 R
rot.Traj12 P2 R
rot.Traj13 P2 R
rot.Traj14 P2 R
rot.Traj15 P2 R
rot.Traj16 P2 R
rot.Traj17 P1 R
rot.Traj18 P2 R
rot.Traj19 P2 R
rot.Traj2 P2 R
rot.Traj20 P1 R
rot.Traj21 P2 R
rot.Traj22 P2 R
rot.Traj23 P2 R
rot.Traj24 P2 R
rot.Traj25 P2 R
rot.Traj26 P2 R
rot.Traj27 P2 R
rot.Traj28 P2 R
rot.Traj29 P2 R
rot.Traj3 P1 R
rot.Traj30 P2 none
rot.Traj31 P1 R
rot.Traj32 P1 R
rot.Traj33 P1 R
rot.Traj34 P1 none
rot.Traj35 R P2
rot.Traj36 P2 R
rot.Traj37 P2 R
rot.Traj38 P2 R
rot.Traj39 P2 R
rot.Traj4 P2 R
rot.Traj40 P1 R
rot.Traj41 P2 R
rot.Traj42 P2 R
rot.Traj43 P2 R
rot.Traj44 P1 none
rot.Traj45 P2 R
rot.Traj46 P2 R
rot.Traj47 P2 R
rot.Traj48 P1 R
rot.Traj49 P2 R
rot.Traj5 R P2
rot.Traj50 P2 R
rot.Traj51 P2 R
rot.Traj52 P2 R
rot.Traj53 P2 R
rot.Traj54 P2 R
rot.Traj55 P2 R
rot.Traj56 P2 R
rot.Traj57 P2 R
rot.Traj58 P2 R
rot.Traj59 P1 R
rot.Traj6 P2 none
rot.Traj60 none R
rot.Traj61 P2 R
rot.Traj62 P2 R
rot.Traj63 P2 none
rot.Traj64 P2 R
rot.Traj65 P2 R
rot.Traj66 P2 R
rot.Traj67 P2 R
rot.Traj68 P2 R
rot.Traj69 P2 R
rot.Traj7 P1 R
rot.Traj70 P2 R
rot.Traj71 P2 R
rot.Traj72 P2 R
rot.Traj73 P2 R
rot.Traj74 P2 R
rot.Traj75 P2 R
rot.Traj76 P1 R
rot.Traj77 P2 R
rot.Traj78 P1 R
rot.Traj79 P1 R
rot.Traj8 P1 R
rot.Traj80 P2 none
rot.Traj81 P2 R
rot.Traj82 P2 R
rot.Traj83 P1 R
rot.Traj84 P2 R
rot.Traj85 P2 R
rot.Traj86 P1 R
rot.Traj87 P1 R
rot.Traj88 P2 R
rot.Traj89 P1 R
rot.Traj9 P2 R
rot.Traj90 P1 R
rot.Traj91 P2 R
rot.Traj92 P2 R
rot.Traj93 P1 R
rot.Traj94 P2 R
rot.Traj95 P1 R
rot.Traj96 P2 R
rot.Traj97 P2 R
rot.Traj98 P2 R
rot.Traj99 P2 R
